i,j,k,Alt_Si3N4,Anc_Si3N4,lambda,n_eff,A_eff,lambda_nm
3,1,8,0.8666666666666667,0.5,1.0568367346938774,1.7077087722171718,4.737899275683768e-13,1056.8367346938774
3,1,9,0.9333333333333333,0.5,1.0568367346938774,1.7151414894138557,4.990123958136937e-13,1056.8367346938774
3,1,10,1.0,0.5,1.0568367346938774,1.721314794454604,5.242266543688458e-13,1056.8367346938774
3,2,1,0.4,0.6666666666666666,1.0568367346938774,1.6794440960622412,3.218638748798987e-13,1056.8367346938774
3,2,2,0.4666666666666667,0.6666666666666666,1.0568367346938774,1.7139130742956934,3.3725352572770767e-13,1056.8367346938774
3,2,3,0.5333333333333333,0.6666666666666666,1.0568367346938774,1.740435334580803,3.573624093469122e-13,1056.8367346938774
3,2,4,0.6000000000000001,0.6666666666666666,1.0568367346938774,1.7607772478490544,3.79650422074307e-13,1056.8367346938774
3,2,5,0.6666666666666667,0.6666666666666666,1.0568367346938774,1.7768921777697255,4.034738263460755e-13,1056.8367346938774
3,2,6,0.7333333333333334,0.6666666666666666,1.0568367346938774,1.7897123535929693,4.283032861850503e-13,1056.8367346938774
3,2,7,0.8,0.6666666666666666,1.0568367346938774,1.8002138866508477,4.5405287156613706e-13,1056.8367346938774
3,2,8,0.8666666666666667,0.6666666666666666,1.0568367346938774,1.8087875260744688,4.800645126121884e-13,1056.8367346938774
3,2,9,0.9333333333333333,0.6666666666666666,1.0568367346938774,1.8160203116232518,5.069089221706673e-13,1056.8367346938774
3,2,10,1.0,0.6666666666666666,1.0568367346938774,1.8220271363930047,5.337287880466396e-13,1056.8367346938774
3,3,1,0.4,0.8333333333333333,1.0568367346938774,1.7297662403275782,3.421138598493933e-13,1056.8367346938774
3,3,2,0.4666666666666667,0.8333333333333333,1.0568367346938774,1.7643538680261766,3.620375281294188e-13,1056.8367346938774
3,3,3,0.5333333333333333,0.8333333333333333,1.0568367346938774,1.7906455438809605,3.8557837167396283e-13,1056.8367346938774
3,3,4,0.6000000000000001,0.8333333333333333,1.0568367346938774,1.8107877123773881,4.112686681011688e-13,1056.8367346938774
3,3,5,0.6666666666666667,0.8333333333333333,1.0568367346938774,1.8267512194545774,4.38590682208632e-13,1056.8367346938774
3,3,6,0.7333333333333334,0.8333333333333333,1.0568367346938774,1.8393502174269165,4.664377206097368e-13,1056.8367346938774
3,3,7,0.8,0.8333333333333333,1.0568367346938774,1.8496816526770874,4.953151750037326e-13,1056.8367346938774
3,3,8,0.8666666666666667,0.8333333333333333,1.0568367346938774,1.8581345961755105,5.245584525185408e-13,1056.8367346938774
3,3,9,0.9333333333333333,0.8333333333333333,1.0568367346938774,1.865216251964999,5.543658579140123e-13,1056.8367346938774
3,3,10,1.0,0.8333333333333333,1.0568367346938774,1.871108301006729,5.842006440434873e-13,1056.8367346938774
3,4,1,0.4,1.0,1.0568367346938774,1.7586722677275366,3.7698934092932024e-13,1056.8367346938774
3,4,2,0.4666666666666667,1.0,1.0568367346938774,1.7930231934371057,4.0048775641397564e-13,1056.8367346938774
3,4,3,0.5333333333333333,1.0,1.0568367346938774,1.8191533079611815,4.279602563985646e-13,1056.8367346938774
3,4,4,0.6000000000000001,1.0,1.0568367346938774,1.8391149545829424,4.574236232730118e-13,1056.8367346938774
3,4,5,0.6666666666666667,1.0,1.0568367346938774,1.854893836762369,4.884117138651161e-13,1056.8367346938774
3,4,6,0.7333333333333334,1.0,1.0568367346938774,1.8673739977039894,5.200961236357703e-13,1056.8367346938774
3,4,7,0.8,1.0,1.0568367346938774,1.8775883611111972,5.527828971739632e-13,1056.8367346938774
3,4,8,0.8666666666666667,1.0,1.0568367346938774,1.8859275115933856,5.857135178912383e-13,1056.8367346938774
3,4,9,0.9333333333333333,1.0,1.0568367346938774,1.8929336023703882,6.194065915741166e-13,1056.8367346938774
3,4,10,1.0,1.0,1.0568367346938774,1.8987523722570203,6.530309883925724e-13,1056.8367346938774
